MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,Kişi,Ses Türü
-421.86246,144.89195,3.818365,24.62904,9.787679,-5.638002,-16.355791,-0.8232095,-5.4657683,-17.537994,3.8411496,-4.0815706,-11.878375,-1.5097358,-10.446102,-7.7078204,-0.14792524,-6.53756,-4.416332,-6.6651597,-5.1936264,-3.7034535,-7.27798,-1.3301551,-2.377279,-4.483289,-1.6385984,-4.0165405,-3.3721821,-1.358261,-2.1362476,-0.8968374,-2.1400437,-2.5632176,-0.43057144,0.63883793,0.46364737,-3.9469566,-1.8995274,0.9080938,0.4320595,0.42761838,0.37212706,0.33507928,0.31666735,0.4340675,0.527624,0.44498974,0.38500988,0.35788405,0.41041955,0.42042834,elif,mutlu
-524.04974,146.3629,42.036446,36.70734,-2.1738362,6.5894217,2.2928278,7.2091928,-4.4603796,-5.1993227,1.5534725,-13.650111,-2.21349,0.52470505,-14.193443,-4.474925,-0.4030829,-4.2451077,-4.2104044,-6.413263,-1.4227813,-2.8342001,-4.3846936,-5.0563235,-4.8097143,-2.1310017,-1.1311805,-4.9692883,-2.8144293,-2.2120397,-6.2299647,-2.320765,-0.93923676,-1.0196435,-2.3176112,-0.3457324,-0.24806198,-0.63149065,-0.07632953,-0.39716712,0.3692625,0.35695142,0.35347304,0.4017034,0.42085958,0.48276973,0.55764055,0.53426385,0.5152299,0.5122549,0.49672154,0.39221117,elif,notr
-486.1626,151.39241,33.238514,40.62758,7.701927,-3.9736507,-16.41402,-4.334394,-1.1033952,-10.325082,-2.5713634,-12.419917,-12.0972185,-4.0792494,-14.014337,-5.464235,0.5775978,-8.572287,-0.24807599,-7.6706023,-8.118764,2.2297487,-5.468752,-4.5389357,-5.3680325,-4.4895225,0.28287718,-6.28973,-1.7018234,-0.12651916,-8.50569,-0.99223924,-0.04258216,-5.616389,-1.4188896,-0.9311827,-2.7794278,-3.4465096,-0.6803592,0.796897,0.3042695,0.3013671,0.32722884,0.32554194,0.33795902,0.4821783,0.5566819,0.50626147,0.43733352,0.37471187,0.36660638,0.34674966,elif,notr
-510.7711,155.29509,23.632727,53.663334,1.1219499,-6.341577,-4.947468,4.1069093,-7.0975165,-5.009908,6.893977,-9.5323,-3.1947103,1.8690579,-12.631458,-4.377959,2.5723138,-6.4268794,-3.1051023,-4.59812,-5.666341,-6.275988,-4.210608,-2.9798992,-6.657697,-1.307592,-0.4363234,-5.657551,-1.7474828,-2.1462686,-6.5963216,-2.65415,0.5756305,-0.8606498,-3.0946362,1.4450637,1.7220534,1.0260789,1.9589033,-0.30327123,0.4602335,0.37259895,0.3348003,0.4235321,0.5206847,0.52582145,0.48754334,0.44095108,0.4218481,0.4519471,0.52779704,0.52182466,elif,notr
-531.2142,161.15352,27.950172,43.217762,4.3492208,5.9877973,-3.8561978,8.178158,-4.955344,-5.017422,9.798147,-11.581508,-5.828804,-2.2290576,-10.702671,-2.3019564,0.34762496,-4.3485336,0.46328828,-2.794332,-4.289582,-0.57721573,-5.6432223,-2.4517598,-1.5652518,-2.756407,2.3179288,-5.4045777,-1.0842587,1.0757655,-6.0702515,-1.7704904,-2.350284,-1.4965118,-2.155306,0.8776666,1.1368762,-0.57284963,0.63900363,-0.3318879,0.36460897,0.31034812,0.36657983,0.5325136,0.60525596,0.53980154,0.4949709,0.45033345,0.4472252,0.44089738,0.44853288,0.41642505,elif,notr
-478.56155,158.26364,28.771854,42.846962,11.122517,9.391257,-7.9914756,-2.4778342,-5.972862,-10.545016,7.382801,-9.143631,-10.54978,-6.0905433,-11.220139,-4.117764,-0.74449456,-5.4713593,-2.9785745,-6.2724576,-6.617855,2.420115,-6.8601003,-6.306996,-1.7668705,-3.2433207,-0.16554236,-8.367818,-2.7220166,1.3557343,-7.202579,-4.8107224,-1.8700076,-0.586949,-2.734791,-4.4347997,-2.7177851,-1.4236407,-2.3228273,-1.8703119,0.34746793,0.4013695,0.401399,0.4350077,0.48481634,0.53750855,0.559515,0.4457287,0.36795297,0.33705017,0.2962831,0.27722383,elif,notr
-475.05792,156.14542,32.88975,42.337143,3.0254743,4.2712665,-8.981977,-1.3813959,-8.496595,-9.60704,3.0855124,-14.764593,-8.693124,-7.4940987,-12.410283,-4.424852,-2.995856,-4.300492,-4.9216647,-5.968996,-4.139956,-2.4545472,-6.969983,-5.411402,-4.2298717,-4.044214,0.076040275,-9.385388,-3.4545124,0.91144305,-8.983507,-4.484902,-4.50705,-3.5985281,-2.0936763,-1.8463889,0.032682452,-0.54044,0.4215453,0.9274588,0.30017525,0.30233207,0.31826842,0.38260022,0.45324358,0.5256374,0.5469383,0.47577575,0.4372007,0.3907328,0.36885372,0.34193498,elif,notr
-474.35895,157.29807,37.42816,36.094307,3.3812232,-1.3796841,-9.11707,3.8993945,-8.470333,-15.578188,-0.028963868,-13.385513,-9.197332,-5.102619,-10.21907,-5.9595346,-3.7284594,-4.5106683,-3.3833451,-3.9555843,-7.3945856,-3.6524532,-5.2987323,-5.3004584,-2.7175033,-6.1041765,0.98056924,-5.677929,-4.7543545,1.0643363,-7.8557906,-0.9412992,-3.1742718,-3.9543774,-1.834063,-3.9859123,-0.7730154,-4.520864,-1.0001037,1.4543576,0.31146544,0.29231256,0.26402166,0.2471423,0.2824313,0.4283318,0.6188315,0.59740406,0.42668658,0.35403192,0.36906987,0.32778776,elif,notr
-487.72986,148.7038,36.844242,53.221912,6.1541166,0.120881036,-10.935675,-3.1630437,-5.8756027,-10.966989,-0.4390875,-9.442469,-8.126856,-4.0906515,-11.856032,-4.628251,0.08522809,-5.730914,1.1708256,-6.828766,-7.981878,0.50791144,-6.3822594,-5.4221916,-3.4397428,-3.2283201,-0.48249397,-8.436486,-2.954142,0.8997547,-8.816595,-1.2966269,-0.20080708,-3.685651,-1.2450266,-1.678638,-0.7491134,-0.9805292,0.4440255,3.294834,0.3276369,0.25555578,0.26732394,0.33236656,0.39110422,0.45656645,0.526635,0.571574,0.5295693,0.44731402,0.4433676,0.37831607,elif,notr
-491.25635,156.77975,22.96995,54.839363,6.4024935,-1.0281919,-13.285654,-3.6737552,-2.7833776,-11.548545,-0.32254687,-9.066627,-9.415928,-4.3194437,-12.010571,-5.913919,0.27798143,-7.825515,-0.75037044,-5.3240933,-8.719555,-1.8225318,-5.616018,-3.8938127,-6.3232923,-4.692653,0.6284965,-8.872202,-5.586819,3.058517,-7.1270213,-4.948422,-1.123267,-4.880412,-1.1539006,-3.7661288,-0.8547151,-1.5073501,-4.114719,1.9151446,0.36562696,0.3657519,0.3645846,0.40169922,0.43140075,0.48667127,0.5460187,0.5021004,0.4426106,0.41630954,0.42577577,0.38297027,elif,notr
-470.66016,152.21683,36.495655,34.827633,18.024788,0.12953556,-15.352611,-7.5301785,-4.6849895,-9.946541,-1.1052053,-11.353666,-14.65024,-6.0592127,-11.394221,-7.578425,-1.8553039,-5.980168,-2.7922232,-7.9864206,-7.933778,0.7013956,-5.558381,-6.0020933,-6.578083,-5.0590873,1.352478,-7.9600177,-5.456793,0.3610654,-7.2694793,-3.0164068,-0.7831958,-2.5164018,0.08119734,-1.3713433,-0.52382934,-1.5106313,-1.0139598,1.6332015,0.33597043,0.295185,0.23261644,0.2300235,0.29544723,0.46904677,0.61084914,0.5187025,0.4250333,0.3435246,0.32693532,0.33416378,elif,notr
-433.64893,134.31693,30.060598,35.12683,-0.4882407,0.0974952,2.3908696,4.8447566,-13.093558,-11.199775,0.74033535,-17.273119,-5.34836,1.9889164,-17.240646,-11.255894,-0.869348,-2.8599432,-6.09836,-6.7821503,-1.9976026,-7.330161,-8.299828,-2.890992,-5.8482623,-5.531824,-2.622276,-4.160312,0.10591194,0.35658798,-0.20350368,3.438842,2.3121352,2.6205199,2.5545135,1.7264882,-1.5136875,-1.7262733,-0.75952345,-1.392647,0.50425345,0.40317306,0.27492863,0.20715761,0.18797135,0.23955554,0.32241222,0.3229934,0.35260162,0.43433306,0.5268415,0.55190873,elif,saskin
-452.88565,131.91554,36.262314,32.756454,-15.506475,-4.4890246,4.480331,6.0674686,-9.756091,-14.820342,-4.6287966,-13.845032,-8.1834,-1.4426891,-16.281939,-13.477305,-5.6318316,-7.4026747,-4.1251698,-6.019462,-6.981231,-4.29734,-1.0662364,-3.958093,-4.8163114,-1.4789932,-2.735129,-4.618675,0.04199186,0.21360251,0.12690648,6.1255865,7.0382743,6.625457,4.6685853,3.724507,2.6120994,-1.3060719,-0.91177917,1.2305304,0.539716,0.38763285,0.29425722,0.26991385,0.2731786,0.2649535,0.24432893,0.24787378,0.2798816,0.41607565,0.60059017,0.6279097,elif,saskin
-473.20126,123.40521,38.748627,43.918015,11.370959,1.4904157,-1.4320397,2.030354,-0.59586877,-10.901101,-6.38868,-14.370001,-4.483491,-1.0395591,-18.598326,-9.2877245,-3.7916276,-5.402972,-3.6321838,-9.548777,-5.189767,-2.75072,-6.950666,-8.564866,-8.039738,-2.0237677,-2.6885772,-6.7291327,-3.828789,-3.6104133,-4.8849125,-1.9175429,0.66291773,0.020957667,1.7573794,6.385691,4.9134455,2.974875,6.0410285,3.1755443,0.3692744,0.2825507,0.25416112,0.2927532,0.3442075,0.37123376,0.40995082,0.42960688,0.53403276,0.59190017,0.66547436,0.4932402,elif,saskin
-472.46356,139.27368,28.782639,40.25931,4.78123,-3.3499455,-5.372326,1.1449668,-4.5423427,-7.0337687,2.2961388,-13.6939335,-9.365479,2.2413914,-13.895933,-13.401636,-4.9559965,-8.457643,-9.529152,-3.557373,2.4086747,-6.0504518,-8.548353,1.0881544,1.6288347,-4.1338425,-4.342989,-4.709479,0.21697369,-1.2850932,-4.8316154,2.776303,2.9534748,1.0469861,1.9223543,6.5003214,5.47135,-1.136449,1.6583846,2.3166995,0.50171643,0.328895,0.24229454,0.22072735,0.23137152,0.28254423,0.33716258,0.3112518,0.3771604,0.47319177,0.6070255,0.57296157,elif,saskin
