MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,RMS,Zero_Crossing_Rate,label
-465.13775634765625,128.39622497558594,-78.59624481201172,31.842344284057617,26.89020347595215,-46.66697311401367,-9.656234741210938,-17.34211540222168,-39.35988998413086,-14.490326881408691,-11.23772144317627,-15.430724143981934,-19.53912925720215,0.6175131797790527,0.4334305226802826,0.28399285674095154,0.26380613446235657,0.24339616298675537,0.2587336599826813,0.2128908932209015,0.1871948093175888,0.18772314488887787,0.2752474844455719,0.35192734003067017,0.4807255268096924,0.01901281252503395,0.08872891316371681,elif
-580.319091796875,81.70051574707031,-31.655675888061523,-8.383322715759277,19.364839553833008,-6.491533279418945,-13.669685363769531,-2.941392660140991,-13.68213176727295,-17.18815040588379,-5.369449615478516,-1.9819368124008179,-7.889698505401611,0.2747763395309448,0.28856346011161804,0.27055132389068604,0.24562181532382965,0.20709413290023804,0.1628303974866867,0.14983022212982178,0.1761949360370636,0.26608359813690186,0.20855753123760223,0.20826826989650726,0.27216869592666626,0.01462451834231615,0.03485865846893491,elif
-496.087646484375,115.8614501953125,-53.73609924316406,13.46961784362793,30.813621520996094,-33.982093811035156,-24.884536743164062,-16.642234802246094,-35.813758850097656,-15.830462455749512,1.099062204360962,-12.521564483642578,-14.825910568237305,0.308368444442749,0.3579097092151642,0.48486214876174927,0.49868839979171753,0.3597947955131531,0.22310811281204224,0.208650603890419,0.2699446380138397,0.3570299744606018,0.33162376284599304,0.33066701889038086,0.32208940386772156,0.017415404319763184,0.06593182070035461,elif
-494.79156494140625,123.66065216064453,-42.0982666015625,-6.750626564025879,17.232702255249023,-31.4564151763916,-21.859289169311523,1.2224968671798706,-25.201345443725586,-34.370506286621094,-9.451754570007324,-7.369940757751465,-23.09427261352539,0.3631814122200012,0.33033913373947144,0.35857540369033813,0.32641729712486267,0.2257840484380722,0.16734784841537476,0.17678841948509216,0.19439861178398132,0.19589339196681976,0.26640623807907104,0.3913983106613159,0.4011325538158417,0.018635869026184082,0.055643284574468085,elif
-522.0896606445312,162.48849487304688,-42.266456604003906,9.022455215454102,45.24496841430664,-16.33517837524414,-30.309804916381836,-12.09701156616211,-32.290409088134766,-27.5073184967041,-6.48915958404541,-4.659671783447266,-10.833917617797852,0.5023923516273499,0.36683133244514465,0.2720873951911926,0.2281470000743866,0.32121047377586365,0.4560447633266449,0.3814605176448822,0.2835947871208191,0.2752024829387665,0.2756802439689636,0.29641157388687134,0.4274134337902069,0.01600562408566475,0.0507956961908284,elif
-528.16357421875,113.42003631591797,-65.41895294189453,7.994997024536133,38.43327331542969,-21.177330017089844,-12.092730522155762,-2.820876121520996,-27.03132438659668,-20.588144302368164,-7.80094051361084,-10.239466667175293,-10.163086891174316,0.3538975119590759,0.26812267303466797,0.16739831864833832,0.17940333485603333,0.3162772059440613,0.3768097758293152,0.4262213110923767,0.3450765311717987,0.2975465953350067,0.31656476855278015,0.41466549038887024,0.44338738918304443,0.016337793320417404,0.08059411015070922,elif
-489.2196350097656,104.31815338134766,-69.08659362792969,47.142818450927734,34.024776458740234,-37.53578567504883,-12.685638427734375,-29.49730110168457,-39.153709411621094,-9.89145565032959,-11.793724060058594,-18.441816329956055,-17.70633316040039,0.5194751024246216,0.37697213888168335,0.22694578766822815,0.200828418135643,0.19559861719608307,0.1636856347322464,0.15264882147312164,0.17601241171360016,0.19281108677387238,0.30755212903022766,0.432865172624588,0.5059139728546143,0.017527835443615913,0.10013222483407079,elif
-524.0831909179688,124.4744873046875,-45.82261657714844,11.536423683166504,42.73905563354492,-18.345460891723633,-20.64164924621582,-8.897191047668457,-30.584562301635742,-23.40669059753418,-4.583529949188232,-12.657047271728516,-17.056947708129883,0.5150185227394104,0.5174253582954407,0.366691917181015,0.3564472794532776,0.35114696621894836,0.27856966853141785,0.3057946264743805,0.2779318392276764,0.21219024062156677,0.24562935531139374,0.3538620173931122,0.4391169548034668,0.01489619817584753,0.05959455341312057,elif
-531.6414794921875,99.69524383544922,-78.85082244873047,-0.6387448310852051,43.186946868896484,-16.419979095458984,-21.841886520385742,-6.396667957305908,-28.27034568786621,-18.633615493774414,0.8722044825553894,-5.410115718841553,-13.568061828613281,0.4727100729942322,0.3092520833015442,0.3123369514942169,0.336451917886734,0.3379451036453247,0.30601680278778076,0.23377346992492676,0.23814353346824646,0.3622386157512665,0.4740374982357025,0.47643759846687317,0.4702400267124176,0.014563815668225288,0.08835868158284024,elif
-630.0650634765625,110.58739471435547,-43.735107421875,-1.3763301372528076,44.071781158447266,-3.947955846786499,-21.639400482177734,1.550788164138794,-9.79626750946045,-17.82742691040039,-2.4833295345306396,-1.0669631958007812,-9.477280616760254,0.38546499609947205,0.27407485246658325,0.21442680060863495,0.1931975781917572,0.2123567759990692,0.23668210208415985,0.29391157627105713,0.3335680663585663,0.4432470202445984,0.5300453901290894,0.4637473225593567,0.47486281394958496,0.006711106281727552,0.056224574704142015,elif
-575.730712890625,89.05236053466797,-75.3154525756836,37.05376434326172,46.044857025146484,-30.21739959716797,-15.909092903137207,-15.850509643554688,-29.596050262451172,-6.108123302459717,2.6442086696624756,-10.446235656738281,-16.046916961669922,0.5134077072143555,0.5744246244430542,0.5686299204826355,0.3267762362957001,0.1757676899433136,0.19449903070926666,0.20413798093795776,0.1489516794681549,0.16362860798835754,0.18762096762657166,0.29316049814224243,0.41217705607414246,0.01144924946129322,0.08154643173758866,elif
-528.6163330078125,110.1833724975586,-64.9673843383789,30.404556274414062,46.79939270019531,-31.481040954589844,-23.705123901367188,-12.920866012573242,-28.561527252197266,-15.08004379272461,-1.6194664239883423,-8.162625312805176,-15.23332405090332,0.5050498247146606,0.3383248746395111,0.18716831505298615,0.21461737155914307,0.28994330763816833,0.2670488655567169,0.19848155975341797,0.17678126692771912,0.2712883949279785,0.4317503273487091,0.5304595232009888,0.5706232786178589,0.01685045100748539,0.0827965702570922,elif
-495.5005798339844,155.21726989746094,-66.51248931884766,17.30353546142578,21.080780029296875,-40.52949905395508,-13.124000549316406,-19.395038604736328,-39.881404876708984,-17.968046188354492,-12.078204154968262,-17.518430709838867,-19.076141357421875,0.3067518174648285,0.2317434847354889,0.2709456980228424,0.24157346785068512,0.17837972939014435,0.21605780720710754,0.30712947249412537,0.42828160524368286,0.4465077519416809,0.3339490592479706,0.3232397139072418,0.30923426151275635,0.016806665807962418,0.05814435840707965,elif
-539.867431640625,103.21983337402344,-55.99776840209961,14.531869888305664,48.01906967163086,-11.929061889648438,-13.50382137298584,1.9481950998306274,-27.516191482543945,-23.232593536376953,1.1047310829162598,-0.07640599459409714,-10.158912658691406,0.4990430772304535,0.3090246617794037,0.19417518377304077,0.1657821238040924,0.19882705807685852,0.23592345416545868,0.2592874765396118,0.2741384208202362,0.3102397918701172,0.38520753383636475,0.4241969585418701,0.5248826742172241,0.014113662764430046,0.06982710798816567,elif
-494.0044250488281,135.169677734375,-62.03903579711914,0.09224392473697662,30.124223709106445,-28.487266540527344,-18.048892974853516,-6.745182991027832,-33.6197395324707,-25.987398147583008,-4.000183582305908,-7.845965385437012,-16.410268783569336,0.44103655219078064,0.387688547372818,0.2708994746208191,0.2950652241706848,0.34421464800834656,0.29427647590637207,0.2769661545753479,0.2913437485694885,0.39060959219932556,0.4339723289012909,0.41815346479415894,0.40918007493019104,0.01883910596370697,0.0715003047429078,elif
-517.93603515625,140.69601440429688,-43.44272232055664,1.843403935432434,19.474647521972656,-27.71060562133789,-18.592897415161133,-11.387425422668457,-29.18923568725586,-24.878999710083008,-7.215461254119873,-6.381912708282471,-18.68509864807129,0.43929991126060486,0.2715931832790375,0.17078743875026703,0.19961251318454742,0.2761249542236328,0.26433080434799194,0.2804943323135376,0.266369491815567,0.27850914001464844,0.34747105836868286,0.3877435326576233,0.4404187500476837,0.015393661335110664,0.05712890625,elif
-507.83062744140625,143.5563507080078,-62.51564407348633,9.529239654541016,28.285221099853516,-26.38986587524414,-14.940716743469238,-19.796302795410156,-33.37263870239258,-13.344444274902344,-4.670337677001953,-10.006183624267578,-14.551203727722168,0.3375539183616638,0.24486203491687775,0.26240578293800354,0.2919989228248596,0.31560277938842773,0.2962294816970825,0.28302282094955444,0.28714147210121155,0.36092349886894226,0.38942670822143555,0.4732471704483032,0.4280356466770172,0.01471030805259943,0.0739417109929078,elif
