MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,Kişi,Ses Türü
-361.884,143.75319,2.477306,31.13285,-2.9848118,15.39729,-12.059444,3.3193383,-8.023642,-14.347584,3.827942,-6.8528523,-12.792874,0.7639968,-5.904739,-8.595452,-7.922758,-10.331704,-0.77596575,-9.949615,-5.793406,-6.706919,-8.796651,-0.99938357,-3.3694155,-7.1557555,-2.0641854,-3.5603876,-0.25642362,-1.6173651,-4.1156116,0.070888914,-2.4617715,1.0926431,-0.9349869,-0.1108782,1.5410215,2.3776643,1.1083477,1.3655251,elif,sinirli
-378.9104,134.42961,9.029463,34.43442,-23.41129,15.404159,-11.633356,9.30469,-4.9620614,-9.882646,0.31407738,-4.5798187,-11.183781,2.2057478,-8.733386,-8.579096,-5.3964524,-13.659341,-0.9922804,-13.354789,-6.472494,-8.636484,-8.249897,-4.495372,-4.955574,-7.5358996,-3.0642288,-5.6494474,-2.3727021,-0.71059436,-8.035416,-1.9331324,-2.1526752,-0.14075293,-1.7036096,1.2833173,2.233203,4.4961815,3.5783515,5.3723717,elif,sinirli
-452.9364,191.55058,4.2676425,18.266243,-4.197291,8.274537,-4.547158,3.206475,2.6616096,-9.145136,0.46238917,-10.502162,-4.1665583,0.20287614,-8.668603,0.14828788,0.4253016,-4.0999985,0.3615424,-10.253834,-6.2378073,-0.49650595,-7.9390984,-0.80292976,-3.3023794,-4.593798,-0.5884349,-4.62636,-0.4485403,-2.9090965,-5.783653,-1.1266005,-2.879213,-1.7837409,-2.3371258,-1.630818,0.5881862,-3.4357634,-1.8193558,-1.0755116,elif,uzgun
-464.00705,177.37288,15.789246,28.38703,4.792866,1.5728735,-10.030935,1.1977782,-0.9510861,-14.883718,2.0662563,-7.9863544,-8.53673,1.206806,-11.261017,-5.7774568,-2.3723896,-5.7457514,-0.071960844,-8.001356,-5.142516,-4.4233146,-8.582211,-1.2262639,-6.4951797,-5.9739084,-1.5978181,-5.5626616,-3.2071059,-3.620452,-4.4019737,-2.6129072,-3.1779606,-1.5081884,-2.1325321,-2.4971054,-0.4861715,-3.4570425,-2.20166,1.5747684,elif,uzgun
-477.05615,173.31433,46.41748,18.522987,-0.08060684,6.6472144,-1.9767059,0.4428715,0.25607377,-9.979741,-1.2833235,-8.429632,-7.5585546,0.2394792,-9.60258,-7.949539,-0.37300742,-2.7850096,-3.5840712,-5.6991534,-3.8559163,-1.6754527,-6.4048543,-2.1971388,-3.5005286,-4.9806004,-0.23134936,-5.0482926,-1.3210399,-1.7900143,-5.825258,0.29651636,-1.8156484,-2.0578218,-0.73160964,-0.28544077,-0.0068088085,-4.4349985,-1.0535631,1.1541979,elif,uzgun
-480.48895,158.62404,28.224567,37.73894,8.856312,9.46334,1.9088917,4.7292957,-5.550145,-13.481653,0.2685226,-12.709998,-10.562594,1.148872,-10.964182,-7.329963,0.61058915,-5.860539,-1.7950671,-4.820972,-5.363263,-2.8184466,-7.486639,-2.0491815,-5.497086,-6.498925,0.97134995,-4.4061866,-2.605612,-2.3704588,-2.8925588,0.050932568,-5.2723117,-0.6655215,0.53022635,-2.280441,0.050488103,-1.9252946,-0.7924745,1.4769765,elif,uzgun
-483.02667,143.23195,40.3286,34.838078,2.0014806,6.932715,0.5367157,-1.915589,-6.1464386,-10.789983,-6.279863,-13.773365,-7.86607,-0.14135176,-9.07773,-6.987301,-2.8342686,-5.875557,-3.8534412,-4.0258307,-5.731766,-10.748788,-6.4673247,0.69349647,-5.4201403,-4.813596,-1.2266484,-5.835704,-1.2873162,-0.07388524,-3.276146,-2.2246447,-3.431516,1.2814335,-0.5993194,-4.535706,-1.8537226,-2.9888377,-1.0354968,0.89323896,elif,uzgun
-476.69366,76.6538,10.085179,12.197559,0.6430465,0.2857557,-4.878776,5.2907643,-14.630125,-12.775318,-3.1679752,-9.670916,-16.536427,1.3106103,-12.453035,-5.912085,-0.8384953,-1.156633,-2.904767,1.2279034,2.5261886,4.432828,0.28299284,4.379611,5.975427,3.1203668,1.5309883,1.0188278,3.793556,0.44344133,-2.0828643,1.2666384,-1.0727215,-1.5162635,0.6818454,0.11308389,-1.5705519,-2.1273081,-0.5716921,-1.6753286,irem,korku
-519.9475,88.541534,29.843979,30.151749,4.793961,2.5374641,5.019617,7.351537,-16.035475,-7.2728553,-2.5468268,-11.677411,-15.833331,1.3907887,-11.444336,-7.2784333,-3.3628428,-5.951414,-6.7477145,-6.084069,-6.414287,-2.6086571,-12.044996,-1.8615878,-3.8701482,-2.6863525,-1.3470684,2.8312898,10.392554,7.2086115,14.072128,9.625235,8.0727215,6.809721,0.5371585,-2.4822044,-0.08962988,-0.12464183,-0.8526054,-0.37639436,irem,korku
-474.4814,68.650925,12.862914,16.437317,4.2929735,1.6944083,0.239311,2.8460839,-15.192422,-1.105638,-8.811747,-6.914501,-22.423758,3.7052364,-13.282939,-11.111299,-4.0573397,0.99606913,-8.939436,4.628587,-4.0070457,7.2703376,0.24432033,4.4974284,7.223064,7.232421,7.693122,4.6848054,3.7383885,2.0425627,-0.57593685,-2.7628953,-0.75945914,0.07424164,0.39772728,-1.3208396,-1.5015031,-3.930516,-0.65367365,-0.85208476,irem,korku
